text,label
"Bonjour/Bonsoir Est ce que l'administration/la direction est au courant de la condition insalubre et l'état détérioré et dégoutant des douches des vestiaires pour hommes? Si Non, c'est très grave Si Oui, c'est encore pire Je suis pas un expert, mais un petit coup de maintenance ne peut pas être aussi compliqué. 1. Démonter les séparations en bois (4 heures/worker) 2. Un bon coup de nettoyage en Kärcher en appliquant des produits de désinfection et nettoyant Mir et par-terre (allez 8 heures max/worker) 3. Démonter les douches et les remplacer par des nouvelles (4 heures max/worker) 4. Monter la nouvelle séparation. Peut-être pas en bois cette fois-ci pour éviter les moisissures ? ;) (8 heures max/worker) En total, pour un seul vestiaire, ça coûtera 24 heures par travailleur. En embauchant 2 travailleurs cela nous mène à 12 heures chaque, 3 travailleurs vous coûtera 8 heures chaque. Quant au financement, je pense pas que c'est la mer à boire pour un Gym de cette renommée, surtout en voyant le prix des abos ;) Vive le sport mais surtout vive la propreté et l’hygiène! Cordialement",0
Un grand flop. On fait un abonnement annuel avec prélèvement bancaire automatique et on ne peut résilier le contrat qu'avec une lettre recommandée. On est en 2025 comme même. C'est pour ça califonia gym n'est plus numéro 1,0
Très beau gym. Personnel très gentil.,2
"La moitié des machines est défectueuse ! Aucune maintenance, absence totale d’entretien … Fuite de toiture …",0
GRANDE salle de sport. La piscine est très propre et fait environ 25 mètres.,2
"California Gym est une bonne salle, notamment pour la diversité du matériel et la possibilité d'accéder à plusieurs salles en même temps, ce qui est vraiment génial. Cependant, j'ai un problème avec les coachs. Ils ne sont pas très disponibles ni chaleureux, et manquent parfois de professionnalisme. Leur intervention semble être payante, ce qui peut être compréhensible, mais cela ne justifie pas leur attitude distante. En tant que client, j'aurais aimé un accueil plus chaleureux et un engagement plus professionnel de leur part. Bien que les coachs puissent apporter de l'aide et des conseils, ils évitent souvent de regarder ou d'interagir avec les clients, ce qui est dommage. À mon avis, c'est le seul point négatif dans ces salles de sport.",1
"J’ai le malheur de m’inscrire dans cette( salle de sport )!! douche avec présence de moisissures, énormément d’abonnés pour très peu de matériel Climatisation qui vous fuit sur la tête… Hygiène douteuse dans l ensemble . Pour 220 dt je trouve ça vraiment irrespectueux A fuir absolument !!!",0
Une pure arnaque... Je m'y étais inscrit pour me détendre et me remettre en forme. Abonnement de 3 mois à 480 dinars. J'y suis allé deux fois. Pourquoi ? Tous simplement qu'à 18h30 on doit faire entre 10 et 15 minutes d'attente entre les machines... Tu parles d'une détente. Je déconseille vivement.,0
"Un grand bravo pour les clubs California Gym et une mention spéciale pour California Gym lac1. L’ambiance est magnifique, tous les employés sont très aimables sans exception. Les coachs des plateaux ainsi que les coachs des cours sont très compétents . Je viens de remercier le responsable Malek pour son professionnalisme de gestion du club. Sans oublier la femme de ménages Fatouma qui est en train de faire un grand effort pour la propreté de la salle. Bravo et bonne continuation.",2
Une séance d’essai à 35dt c’est du vol. Surtout pour que ce soit plein à 14h et qu’il manque un rack à squat. Je comprends pas comment une salle avec une telle superficie puisse avoir aussi peu de machines.,1
