text,label
je suis d accord sur le fait qu il ne faut pas que les femmes de menage se promènent avec leur serpillière dans la salle. autre chose pour quand les cours de yoga ? j attends ces cours pour me réinscrire.,2
parfait,2
"certains équipements nécessitent un entretien, mais dans l ensemble ils sont bons et disposent d un parking à proximité",2
la meilleure salle de sport du pays,2
"petit et achalandé. le gérant est agréable. il est difficile pour moi qui est plutôt sauvage, d être à l aise dans un si petit gym... réflexion faites, on m a donné le mauvais horaire lors de l inscription (sans mentionner les coupures lors du ramadan et cela est incompatible à mon horaire). tout est sale, les utilisateurs ne nettoient pas leurs machines (yeark!), le yoga se donne sur un beat hip hop, dance. bref pas pour moi. j en ai parlé à une connaissance qui est cadre, cette dernière s est sauvé de la conversation. service client , déjà entendu parlé?",0
excellente ambiance,2
"l espace est bien agencé, il y a une grande variété de cours, désinfection a longueur de journée de tout l espace. très bonne organisation. le personnel et tous les coach sont professionnels chaleureux et souriants. je recommande",2
bon,2
"il y a beaucoup trop de monde. ne venez jamais l après midi ou le soir. si vous êtes une salle de sport compétitive, je vous recommande d ouvrir à côté de celle ci. vous aurez toujours une salle complète.",0
"d amélioration en amélioration. les coachs sont excellents, l ambiance est géniale. la propreté et la gestion des clubs y est remarquable !",2
"généralement bondé d enfants. équipements limités et odeur désagréable. trop cher pour la qualité proposée. il porte bien son nom, et c est tout.",0
bonne chance pour le divertissement,2
équipe à l écoute et vous aide lorsque tu a besoin de faire des exercices spécifiques. espace propre et spacieux,2
j adore ce gym!,2
"tout est bon : équipement, entraîneurs, un grand choix de programmes de groupe pour tous les goûts. excellent sauna. mais le soir, il est difficile de trouver une place libre dans les vestiaires, la femme de ménage fait souvent semblant de nettoyer, ils peuvent mettre des tapis du sol sur les bancs.",1
bon travail,2
"très déçue par l attitude du personnel à l accueil de california gym. hier soir, j ai signalé avoir fait tomber les clés de mon cadenas dans le vestiaire. ce matin, en demandant si elles avaient été retrouvées par l équipe de nettoyage, l employée me répond sèchement non , sans aucune recherche. lorsque je lui demande si les vestiaires ont bien été nettoyés ce matin, elle se vexe et me répond haut et fort : bien sûr qu ils ont été nettoyés, ils ont peut être jeté les clés à la poubelle. quel service et quel professionnalisme ! aucune considération pour les adhérents, aucune volonté d aider. décevant pour une salle de sport censée offrir une bonne expérience client. en plus une coupure d eau ! la cerise sur le gâteau",0
"ces photos ont été prises le juin en , je modifie mon avis, je suis extrêmement déçu par cg in cun, les douches sont toujours cassées, pas d eau même pour se laver les mains, le visage après l entraînement, certaines machines cassées depuis mois et toujours pas réparées, une seule fonctionne et vous devez attendre puis revenir pour découvrir que quelqu un d autre l utilise, les toilettes ne sont pas propres et certains nettoyeurs sont impolis et m ont confondu avec des filles sales qui ont fait des dégâts et l ont laissé !! de plus, la musique est tellement forte que mes oreilles ont presque explosé, j ai demandé s ils pouvaient baisser le volume et ils ont dit que la chaîne stéréo était cassée et que la musique devait rester jouée, une autre chose est que les gens qui utilisent des machines gardent les kilos allumés puis passent à une autre, après l avoir déchargé pour utiliser les kilos que je peux gérer, un gars est venu et est sorti en pensant que je travaillais là, même si je lui ai dit que je venais littéralement de décharger pour que je puisse l utiliser, il était très impoli et a commencé à l utiliser comme si je n étais pas debout en train de lui parler !! c est tellement triste de voir comment ça s est passé , plus jamais.",0
incroyable,2
"je pense que c est pour filtrer car il y a une forte demande et la salle n est pas immense. beaucoup plus agréable le matin car moins de monde. tu devrais aller y jeter un oeil. en tout cas, je te recommande le cours de zumba c est génial!",2
"une amie m a offert un pass day, j y suis allé, j ai fait une séance de sport, un gommage oriental et un massage! bravo, je suis vraiment très exigent mais cette fois j était très satisfait par le service, une propreté irréprochable, un personnel souriant, très respectueux, au petit soin ... (coachs réceptionnistes et hydrothérapeute ) un service personnalisé qu on ne trouve pas dans plusieurs hotels dommage que je ne vit pas en tunisie mais je reviendrai surement. bravo à l équipe,",2
les meilleurs c ma deuxième famille,2
une parfaite salle de sport ..,2
l endroit idéal l équipe idéale,2
très fréquenté pour son service excellent...,2
la plus pire des salle des sports en termes de musculation,0
salle de sport très acceuillante et bien equipeé,2
"saif mezlini , le meilleur de tous , il est aimable et tres amical",2
